zcta5_2020,statecode,countycode_2022,countycode_2020
b'06110',b'09',b'110',b'003'
b'06111',b'09',b'110',b'003'
b'06112',b'09',b'110',b'003'
b'06114',b'09',b'110',b'003'
b'06117',b'09',b'110',b'003'
b'06118',b'09',b'110',b'003'
b'06119',b'09',b'110',b'003'
b'06120',b'09',b'110',b'003'
b'06226',b'09',b'180',b'015'
b'06231',b'09',b'110',b'013'
b'06232',b'09',b'110',b'013'
b'06234',b'09',b'150',b'015'
b'06235',b'09',b'150',b'015'
b'06237',b'09',b'110',b'013'
b'06238',b'09',b'110',b'013'
b'06239',b'09',b'150',b'015'
b'06241',b'09',b'150',b'015'
b'06242',b'09',b'150',b'015'
b'06243',b'09',b'150',b'015'
b'06247',b'09',b'150',b'015'
b'06248',b'09',b'110',b'013'
b'06249',b'09',b'180',b'011'
b'06250',b'09',b'110',b'013'
b'06254',b'09',b'180',b'011'
b'06255',b'09',b'150',b'015'
b'06256',b'09',b'180',b'015'
b'06258',b'09',b'150',b'015'
b'06259',b'09',b'150',b'015'
b'06260',b'09',b'150',b'015'
b'06262',b'09',b'150',b'015'
b'06263',b'09',b'150',b'015'
b'06264',b'09',b'150',b'015'
b'06266',b'09',b'180',b'015'
b'06268',b'09',b'110',b'013'
b'06269',b'09',b'110',b'013'
b'06277',b'09',b'150',b'015'
b'06278',b'09',b'150',b'015'
b'06279',b'09',b'110',b'013'
b'06280',b'09',b'180',b'015'
b'06281',b'09',b'150',b'015'
b'06282',b'09',b'150',b'015'
b'06320',b'09',b'180',b'011'
b'06330',b'09',b'180',b'011'
b'06331',b'09',b'150',b'015'
b'06332',b'09',b'150',b'015'
b'06333',b'09',b'180',b'011'
b'06334',b'09',b'180',b'011'
b'06335',b'09',b'180',b'011'
b'06336',b'09',b'180',b'011'
b'06338',b'09',b'180',b'011'
b'06339',b'09',b'180',b'011'
b'06340',b'09',b'180',b'011'
b'06350',b'09',b'180',b'011'
b'06351',b'09',b'180',b'011'
b'06353',b'09',b'180',b'011'
b'06354',b'09',b'150',b'015'
b'06355',b'09',b'180',b'011'
b'06357',b'09',b'180',b'011'
b'06359',b'09',b'180',b'011'
b'06360',b'09',b'180',b'011'
b'06365',b'09',b'180',b'011'
b'06370',b'09',b'180',b'011'
b'06371',b'09',b'130',b'011'
b'06373',b'09',b'150',b'015'
b'06374',b'09',b'150',b'015'
b'06375',b'09',b'180',b'011'
b'06376',b'09',b'130',b'011'
b'06377',b'09',b'150',b'015'
b'06378',b'09',b'180',b'011'
b'06379',b'09',b'180',b'011'
b'06380',b'09',b'180',b'011'
b'06382',b'09',b'180',b'011'
b'06384',b'09',b'150',b'011'
b'06385',b'09',b'180',b'011'
