"","statecode","countycode","v124_rawvalue"
"484","13","153",0
"485","13","155",0
"486","13","157",0
"487","13","159",1
"488","13","161",1
"489","13","163",0
"490","13","165",0
"491","13","167",0
"492","13","169",0
"493","13","171",0
"494","13","173",1
"495","13","175",0
"496","13","177",0
"497","13","179",0
"498","13","181",1
"499","13","183",0
"500","13","185",1
"501","13","187",0
"502","13","193",0
"503","13","195",1
"504","13","197",1
"505","13","189",1
"506","13","191",0
"507","13","199",0
"508","13","201",0
"509","13","205",1
"510","13","207",0
"511","13","209",1
"512","13","211",1
"513","13","213",0
"514","13","215",0
"515","13","217",0
"516","13","219",0
"517","13","221",1
"518","13","223",0
"519","13","225",0
"520","13","227",0
"521","13","229",1
"522","13","231",0
"523","13","233",0
"524","13","235",0
"525","13","237",0
"526","13","239",0
"527","13","241",1
"528","13","243",0
"529","13","245",0
"530","13","247",0
"531","13","249",0
"532","13","251",1
"533","13","253",0
"534","13","255",0
"535","13","257",1
"536","13","259",0
"537","13","261",0
"538","13","263",0
"539","13","265",0
"540","13","267",0
"541","13","269",1
"542","13","271",0
"543","13","273",0
"544","13","275",0
"545","13","277",0
"546","13","279",1
"547","13","281",0
"548","13","283",0
"549","13","285",0
"550","13","287",0
"551","13","289",0
"552","13","291",1
"553","13","293",0
"554","13","295",0
"555","13","297",0
"556","13","299",0
"557","13","301",1
"558","13","303",0
"559","13","305",0
"560","13","307",0
"561","13","309",0
"562","13","311",0
"563","13","313",0
"564","13","315",0
"565","13","317",1
"566","13","319",0
"567","13","321",0
"568","15","001",NA
"569","15","000",NA
"570","15","003",NA
"571","15","005",NA
"572","15","007",NA
"573","15","009",NA
"574","19","001",0
"575","19","003",0
"576","19","005",0
"577","19","007",0
"578","19","009",0
"579","19","011",1
"580","19","013",0
"581","19","015",0
"582","19","017",0
"583","19","019",0
"584","19","021",0
"585","19","023",1
"586","19","025",1
"587","19","027",1
"588","19","029",0
"589","19","031",0
"590","19","033",0
"591","19","035",0
"592","19","037",0
"593","19","039",1
"594","19","041",0
"595","19","043",0
"596","19","045",0
"597","19","047",0
"598","19","049",0
"599","19","051",0
"600","19","053",0
"601","19","055",0
"602","19","057",1
"603","19","059",0
"604","19","061",0
"605","19","063",0
"606","19","065",0
"607","19","067",0
"608","19","069",0
"609","19","071",0
"610","19","073",0
"611","19","075",0
"612","19","077",1
"613","19","079",0
"614","19","081",0
"615","19","083",0
"616","19","085",0
"617","19","087",0
"618","19","089",0
"619","19","091",0
"620","19","093",0
"621","19","000",NA
"622","19","095",0
"623","19","097",0
"624","19","099",0
"625","19","101",0
"626","19","103",1
"627","19","105",0
"628","19","107",0
"629","19","109",0
"630","19","111",0
"631","19","113",0
"632","19","115",0
"633","19","117",0
"634","19","119",0
"635","19","121",0
"636","19","123",0
"637","19","125",0
"638","19","127",0
"639","19","129",1
"640","19","131",0
"641","19","133",0
"642","19","135",0
"643","19","137",0
"644","19","139",0
"645","19","141",0
"646","19","143",0
"647","19","145",0
"648","19","147",1
"649","19","149",0
"650","19","151",0
"651","19","153",1
"652","19","155",0
"653","19","157",1
"654","19","159",0
"655","19","161",0
"656","19","163",1
"657","19","165",0
"658","19","167",0
"659","19","169",0
"660","19","171",0
"661","19","173",0
"662","19","175",0
"663","19","177",0
"664","19","179",0
"665","19","181",0
"666","19","183",0
"667","19","185",0
"668","19","187",0
"669","19","189",0
"670","19","191",0
"671","19","193",0
"672","19","195",0
"673","19","197",0
"674","16","001",1
"675","16","003",0
"676","16","005",1
"677","16","007",1
"678","16","009",1
"679","16","011",1
"680","16","013",1
"681","16","015",1
"682","16","017",1
"683","16","019",1
"684","16","021",1
"685","16","023",0
"686","16","025",0
"687","16","027",1
"688","16","029",0
"689","16","031",1
"690","16","033",0
"691","16","035",1
"692","16","037",0
"693","16","039",1
"694","16","041",1
"695","16","043",1
"696","16","045",0
"697","16","047",1
"698","16","049",0
"699","16","000",NA
"700","16","051",1
"701","16","053",1
"702","16","055",1
"703","16","057",1
"704","16","059",1
"705","16","061",1
"706","16","063",1
"707","16","065",1
"708","16","067",1
"709","16","069",1
"710","16","071",0
"711","16","073",1
"712","16","075",1
"713","16","077",0
"714","16","079",0
"715","16","081",1
"716","16","083",0
"717","16","085",1
"718","16","087",0
"719","17","001",1
"720","17","003",0
"721","17","005",1
"722","17","007",0
"723","17","009",0
"724","17","011",1
"725","17","013",0
"726","17","015",1
"727","17","017",1
"728","17","019",0
"729","17","021",1
"730","17","023",0
"731","17","025",0
"732","17","027",1
"733","17","029",1
"734","17","031",1
"735","17","033",1
"736","17","035",0
"737","17","037",1
"738","17","039",0
"739","17","041",1
"740","17","043",1
"741","17","045",0
"742","17","047",0
"743","17","049",0
"744","17","051",1
"745","17","053",0
"746","17","055",1
"747","17","057",1
"748","17","059",0
"749","17","061",1
"750","17","063",1
"751","17","065",1
"752","17","067",1
"753","17","069",0
"754","17","071",0
"755","17","073",1
"756","17","000",NA
"757","17","075",1
"758","17","077",1
"759","17","079",0
"760","17","081",0
"761","17","083",0
"762","17","085",1
"763","17","087",1
"764","17","089",1
"765","17","091",1
"766","17","093",1
"767","17","095",1
"768","17","097",1
"769","17","099",1
"770","17","101",1
