"statecode","countycode","v044_numerator","v044_denominator","v044_rawvalue","v044_cilow","v044_cihigh"
"20","151",111529,27039,4.12474573763823,3.46317188320823,4.78631959206822
"20","153",102500,30000,3.41666666666667,2.7026430514649,4.13069028186843
"20","155",111221,27279,4.07716558524873,3.7567499096046,4.39758126089285
"20","157",103739,25216,4.11401491116751,3.60421002648305,4.62381979585198
"20","159",110457,33000,3.34718181818182,2.58575026786012,4.10861336850352
"20","161",124139,24855,4.9945282639308,4.41919828518647,5.56985824267513
"20","163",120182,36031,3.33551663845022,2.66602705154625,4.0050062253542
"20","165",109500,23598,4.64022374777524,3.39879590020827,5.8816515953422
"20","167",105259,26696,3.94287533712916,2.64594974640571,5.23980092785261
"20","169",121187,26347,4.59965081413444,4.03595627835882,5.16334534991006
"20","171",117250,35333,3.31842753233521,1.52528499044838,5.11157007422205
"20","173",134158,30847,4.34914254222453,4.18536564009851,4.51291944435054
"20","175",120267,34034,3.53373097490745,2.99515146501611,4.07231048479878
"20","177",130736,30027,4.35394811336464,4.14260658867904,4.56528963805024
"20","179",141650,31693,4.46944120152715,3.25967923791606,5.67920316513824
"20","181",127714,32594,3.91832852672271,2.93797420995596,4.89868284348946
"20","183",113917,29980,3.79976651100734,3.1864067381676,4.41312628384707
"20","185",120481,30189,3.99089072178608,3.32086667266525,4.66091477090691
"20","187",142464,39630,3.59485238455715,2.23044852419564,4.95925624491867
"20","189",120615,37015,3.25854383358098,2.28138333103855,4.23570433612341
"20","191",124530,27500,4.52836363636364,3.89156696704676,5.16516030568051
"20","193",124731,26406,4.72358554873892,3.57563516643701,5.87153593104083
"20","195",128310,40447,3.1722995525008,2.43241362771709,3.91218547728452
"20","197",130214,43000,3.02823255813954,2.60739630579767,3.4490688104814
"20","199",118000,30438,3.87673303107957,2.68277734512016,5.07068871703898
"20","201",112459,28850,3.8980589254766,3.44207012640303,4.35404772455017
"20","203",150423,25188,5.97201048118152,2.57286551848028,9.37115544388275
"20","205",119478,24581,4.86058337740531,3.98090697186694,5.74025978294369
"20","207",107219,25500,4.20466666666667,2.99036973133313,5.41896360200021
"20","209",118696,28083,4.2266139657444,3.96888858807327,4.48433934341553
"21","000",127452,25431,5.01167865990327,4.93263764901898,5.09071967078756
"21","001",107006,18682,5.7277593405417,4.92052948537039,6.534989195713
"21","003",106802,27160,3.93232695139912,3.43671108008384,4.42794282271439
"21","005",133483,33781,3.95142239720553,3.25579364789028,4.64705114652078
"21","007",126022,30484,4.13403752788348,3.43764081590633,4.83043423986063
"21","009",103491,21882,4.72950370167261,4.05068736771666,5.40832003562856
"21","011",108787,18761,5.79857150471723,4.23828360660839,7.35885940282607
"21","013",75675,12172,6.21713769306605,5.00870811222301,7.4255672739091
"21","015",170433,46856,3.63737835069148,3.39226846131066,3.8824882400723
