statecode,countycode,v037_race_white,v037_race_black,v037_race_aian,v037_race_asian,v037_race_nhopi,v037_race_tom,v037_race_hispanic,v037_race_,v037_race_white_cilow,v037_race_black_cilow,v037_race_aian_cilow,v037_race_asian_cilow,v037_race_nhopi_cilow,v037_race_tom_cilow,v037_race_hispanic_cilow,v037_race__cilow,v037_race_white_cihigh,v037_race_black_cihigh,v037_race_aian_cihigh,v037_race_asian_cihigh,v037_race_nhopi_cihigh,v037_race_tom_cihigh,v037_race_hispanic_cihigh,v037_race__cihigh
01,117,0.07544974492079119,0.15326855123674912,NA,0.08059701492537313,NA,0.11721611721611722,0.07803180914512922,NA,0.07055234780333075,0.13842912082958267,NA,0.051446508696847616,NA,0.07905723792023353,0.06631158574290949,NA,0.08034714203825163,0.16810798164391558,NA,0.10974752115389866,NA,0.1553749965120009,0.08975203254734895,NA
01,119,0.04926108374384237,0.17155425219941348,NA,NA,NA,NA,NA,NA,0.01949027251268393,0.14326010138082315,NA,NA,NA,NA,NA,NA,0.07903189497500081,0.1998484030180038,NA,NA,NA,NA,NA,NA
01,121,0.08135686707115279,0.15904761904761905,NA,NA,NA,0.11333333333333333,0.07784431137724551,NA,0.072458451256693715,0.14340549548239845,NA,NA,NA,0.06260279581363976,0.03720808217705483,NA,0.09025528288561187,0.17468974261283965,NA,NA,NA,0.1640638708530269,0.11848054057743619,NA
01,123,0.08194774346793349,0.2121546961325967,NA,NA,NA,NA,NA,NA,0.06884726285985852,0.18551810883835174,NA,NA,NA,NA,NA,NA,0.09504822407600845,0.23879128342684164,NA,NA,NA,NA,NA,NA
01,125,0.07571515520389531,0.17450335858224952,NA,0.11029411764705882,NA,0.11524163568773234,0.08081896551724138,NA,0.06999448894467225,0.16561012529774788,NA,0.0730660044601218,NA,0.07708263640839819,0.0684188921007372,NA,0.08143582146311837,0.18339659186675117,NA,0.14752223083399585,NA,0.1534006349670665,0.09321903893374556,NA
01,127,0.10096261473024401,0.17664670658682635,NA,NA,NA,NA,0.09090909090909091,NA,0.09212739681350215,0.13574619654032283,NA,NA,NA,NA,0.0658602215466717,NA,0.10979783264698587,0.21754721663332988,NA,NA,NA,NA,0.11595796027151012,NA
01,129,0.08429561200923788,0.14130434782608695,0.2,NA,NA,NA,NA,NA,0.06579111617230861,0.10020840724608217,0.11735914381426636,NA,NA,NA,NA,NA,0.10280010784616715,0.18240028840609174,0.28264085618573365,NA,NA,NA,NA,NA
01,131,0.09473684210526316,0.16815476190476192,NA,NA,NA,NA,NA,NA,0.05309536312647278,0.13987685323678828,NA,NA,NA,NA,NA,NA,0.13637832108405354,0.19643267057273556,NA,NA,NA,NA,NA,NA
01,133,0.09060846560846561,NA,NA,NA,NA,NA,NA,NA,0.07613941561328472,NA,NA,NA,NA,NA,NA,NA,0.1050775156036465,NA,NA,NA,NA,NA,NA,NA
02,000,0.05415283403892425,0.12138400453771979,0.08218954248366013,0.08839925670294664,0.06641895030190433,0.06662572919864906,0.0682066205893052,0.056483691328560064,0.051704775117612345,0.1061396093572712,0.07732378852361645,0.07933389987759348,0.05590039549782491,0.06056979574242627,0.06154274654286588,0.043721516970467944,0.056600892960236154,0.1366283997181684,0.08705529644370381,0.0974646135282998,0.07693750510598374,0.07268166265487186,0.07487049463574451,0.06924586568665218
02,013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
