"statecode","countycode","v014_race_white","v014_race_white_cilow","v014_race_white_cihigh","v014_race_black","v014_race_black_cilow","v014_race_black_cihigh","v014_race_asian","v014_race_asian_cilow","v014_race_asian_cihigh","v014_race_aian","v014_race_aian_cilow","v014_race_aian_cihigh","v014_race_nhopi","v014_race_nhopi_cilow","v014_race_nhopi_cihigh","v014_race_tom","v014_race_tom_cilow","v014_race_tom_cihigh","v014_race_hispanic","v014_race_hispanic_cilow","v014_race_hispanic_cihigh"
"13","157",11.7611351392367,9.90956800879749,13.6127022696758,11.5755627009646,6.86041207742735,18.2943795932656,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.825311942959,8.54792993963001,32.7813833191048,18.9349112426036,13.9611088061078,25.1049452394979
"27","127",8.38414634146342,5.2542998750875,12.6936983182642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7289719626168,22.4083583931422,85.936243186999
"20","113",10.9443402126329,8.53165011068566,13.8275154521637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5038759689922,7.43471115679447,28.5121799101051
"39","007",18.2805429864253,16.2221710670505,20.3389149058001,20.0803212851406,9.62929457054706,36.9284257871843,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2312565997888,14.55890482812,35.1724016759506,23.8095238095238,16.7641020380348,32.8182922406247
"53","015",13.7119873240295,11.920287647023,15.503687001036,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.5,29.9711793508277,114.939725262611,27.831094049904,18.6389204774932,39.9700935111196,21.7341040462428,17.5633684159746,26.5970390124468
"39","129",17.6428443489164,15.1791231469343,20.1065655508984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0963855421687,11.5551534846565,44.3141109446212,NA,NA,NA
"37","139",16.3593871721631,12.5710022839489,20.9307627335473,15.7736604907361,12.1209138196012,20.1813638675239,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.094688221709,11.0748006839086,42.4719539076623,17.743979721166,9.70079882927833,29.7713829174088
"29","135",17.9223365416528,13.4638108106687,23.3847614980786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6797385620915,15.6712048893217,60.0992027516921
"22","085",30.4698972099853,24.2691030461832,37.7720219520066,32.8185328185328,22.7277880159964,45.8606101305049,NA,NA,NA,20.1612903225806,9.66812237123475,37.0773307298746,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","081",17.4216027874564,8.3543357075478,32.0389478083933,35.3260869565217,25.1203011679678,48.2919237915153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","009",13.3528200358732,11.5068228338294,15.198817237917,NA,NA,NA,NA,NA,NA,19.9004975124378,11.3748537980616,32.3171611909962,NA,NA,NA,21.7391304347826,12.4257913772303,35.3029858662513,15.1745068285281,7.2767658514908,27.9064583338661
"25","019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9204737732657,8.11402486655234,31.1173537089979
"49","005",3.19488817891374,2.63922723372026,3.75054912410721,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5238095238095,28.5439803341216,109.466405012011,12.3131046613896,6.731688897362,20.6592973806821,20.1710505083105,16.63490944336,23.7071915732609
