"statecode","countycode","v014_numerator","v014_denominator","v014_rawvalue","v014_cihigh","v014_cilow"
"35","057",65,3396,19.1401648998822,24.3957113709869,14.7719751852869
"36","049",65,5210,12.4760076775432,15.9016959339485,9.62871933382616
"29","135",65,3429,18.9559638378536,24.160931996463,14.6298126944399
"36","079",65,20223,3.21416209266677,4.09671343598238,2.48062244618673
"48","297",65,2020,32.1782178217822,41.0137801068671,24.8344691728883
"51","071",66,3210,20.5607476635514,26.1583122873853,15.9016807534708
"54","015",66,1605,41.1214953271028,52.3166245747706,31.8033615069416
"18","047",66,4842,13.6307311028501,17.3416320616495,10.5420064474683
"01","023",66,2227,29.6362819937135,37.7046171722078,22.9206983469427
"37","187",66,2182,30.2474793767186,38.4822101019738,23.3933983586807
"48","107",66,1410,46.8085106382979,59.5519024414942,36.201698736625
"29","053",66,3502,18.8463735008567,23.9772080075691,14.5757839002402
"05","109",66,2228,29.6229802513465,37.6876940944824,22.9104107803597
"51","750",66,11828,5.57997970916469,7.09910233703981,4.3155559028273
"08","099",67,3276,20.4517704517705,25.9730255274104,15.8498411859587
"18","045",67,3246,20.6407886629698,26.2130719740593,15.996327703389
"17","025",67,2711,24.7141276281815,31.3860684720754,19.1531094523056
"05","089",67,2862,23.4102026554857,29.7301298489854,18.1425855084558
"30","087",67,2253,29.7381269418553,37.766370007899,23.0466399135378
"31","131",67,3517,19.0503269832243,24.1932418617561,14.7637417472848
"18","139",67,3660,18.3060109289617,23.2479867835509,14.1869070287433
"13","065",67,1485,45.1178451178451,57.2980684362265,34.9657102526603
"31","067",68,4308,15.7845868152275,20.0107249665807,12.2573492926236
"20","051",68,8409,8.08657390890712,10.251659312169,6.27954105751248
"36","095",68,7587,8.96269935415843,11.3623570786911,6.959886747413
"01","035",68,2201,30.8950477055884,39.1668346915173,23.9912134269071
"19","065",68,4275,15.906432748538,20.1651937207087,12.351967427514
"26","109",68,4057,16.7611535617451,21.2487560157825,13.0156915830965
"55","057",68,4873,13.954442848348,17.6905813987337,10.83617089116
"55","015",68,11741,5.7916702154842,7.34232204718759,4.49745854293693
"17","017",68,2640,25.7575757575758,32.6538648318294,20.0017654365994
"56","007",68,2833,24.0028238616308,30.4292986784432,18.6391319282112
"21","187",68,2514,27.0485282418457,34.2904547160022,21.0042405539469
"48","387",68,2055,33.0900243309002,41.9494905868757,25.6956986630766
"17","127",68,2914,23.3356211393274,29.5834602457205,18.1210229075575
"39","175",68,4511,15.0742629128796,19.1102201631633,11.7057549883889
"21","033",68,2559,26.5728800312622,33.6874572708204,20.6348811069255
"39","163",69,2656,25.9789156626506,32.8779804574719,20.2131470470048
"40","011",69,2040,33.8235294117647,42.8058412230614,26.3167247827671
"49","051",69,9913,6.96055684454756,8.80903017200094,5.41572869533389
"46","031",69,1212,56.9306930693069,72.0494357219846,44.2954773571327
"22","049",69,2882,23.941707147814,30.299762697795,18.6280772230551
"51","640",69,1463,47.1633629528366,59.6882543370098,36.6959115221086
"22","027",69,2255,30.5986696230599,38.7245747649868,23.8075913777582
"26","143",70,3297,21.2314225053079,26.8246250627962,16.5509354285549
"18","009",70,2350,29.7872340425532,37.6343782263996,23.2206102587002
"31","151",70,4113,17.0192073911986,21.5027446710525,13.2673071013726
"48","429",70,1913,36.59174072138,46.2314630590899,28.525057034995
"46","023",70,2288,30.5944055944056,38.654190923094,23.849840082144
"20","067",70,1992,35.140562248996,44.3979863614653,27.3937922228642
"17","109",70,9726,7.19720337240387,9.09323348057156,5.61057311412148
"26","031",70,4088,17.1232876712329,21.6342438434538,13.3484427857009
"40","075",70,1883,37.1747211895911,46.9680238088364,28.9795189102207
"39","137",70,7389,9.47354175125186,11.969250078771,7.38509055460082
"05","095",70,1215,57.6131687242798,72.7907727012666,44.9122914468687
"47","015",70,2681,26.1096605744125,32.9879853905405,20.3537613233665
"27","169",70,17310,4.04390525707683,5.10923101282721,3.15242253656531
"42","047",70,5485,12.7620783956244,16.1241182920764,9.94866620017238
"13","253",70,1735,40.3458213256484,50.9745180588121,31.4515470362798
"12","037",70,1649,42.4499696785931,53.6329829181558,33.0918339041513
"33","001",71,11152,6.36657101865136,8.0305630476238,4.9723447860921
"01","119",71,3573,19.8712566470753,25.0648863999722,15.5196163040859
"18","129",71,4849,14.6421942668591,18.4691357201692,11.4356752020002
"13","319",71,1941,36.5790829469346,46.1395358614635,28.5685672614627
"05","017",71,1954,36.3357215967247,45.8325686320883,28.378500027891
"01","011",71,1745,40.6876790830946,51.3219708350147,31.777414930945
"38","061",71,2099,33.8256312529776,42.6664312087187,26.418098644354
"20","011",71,3690,19.2411924119241,24.2701460994853,15.0275309090783
"18","015",71,4178,16.9937769267592,21.4353372683343,13.272280769387
"54","063",71,2317,30.6430729391454,38.6520669430732,23.9324941970216
"06","009",71,7452,9.5276435856146,12.0178259671364,7.44116868686246
"19","123",71,4727,15.0200973133065,18.9458089924055,11.7308206165642
"26","079",71,3420,20.7602339181287,26.1862102652341,16.2139149282161
"12","013",71,2547,27.875932469572,35.1616957625051,21.771334532587
"29","223",71,2129,33.3489901362142,42.0652132959608,26.0458379776886
"29","157",72,3979,18.0949987434029,22.7876562062473,14.1582220885118
"48","131",72,2386,30.176026823135,38.0017116700159,23.610882518939
"22","075",72,5139,14.0105078809107,17.6439159456427,10.9623595427492
"17","145",72,3663,19.6560196560197,24.7535036976953,15.3796248130462
"20","001",72,3224,22.3325062034739,28.1240955473505,17.4738106979492
"29","067",72,2593,27.7670651754724,34.9680231564435,21.7260183918968
"28","065",72,1940,37.1134020618557,46.7381876518855,29.038951386695
"17","033",72,3391,21.2326747272191,26.7390398244347,16.6132603038008
"27","115",72,5322,13.5287485907554,17.0372198505558,10.5854125686186
"49","037",72,4525,15.9116022099448,20.0380296231288,12.4498487713123
"08","014",72,15694,4.58774053778514,5.77749993912692,3.58962442272132
"13","083",72,3964,18.1634712411705,22.8738859850298,14.2117976009557
"27","091",73,4156,17.5649663137632,22.0853080324787,13.7681296733636
"46","035",73,4487,16.2692221974593,20.4561043420953,12.7524731273678
"01","041",73,2777,26.2873604609291,33.0524091404327,20.6050943185089
"29","001",73,11119,6.56533860958719,8.25492761785966,5.14617743704462
"17","027",73,6984,10.4524627720504,13.1424026607935,8.19306227412645
"48","495",73,2080,35.0961538461538,44.1281443187411,27.5097821742784
"12","125",73,2744,26.6034985422741,33.4499053144976,20.8528961087825
"37","055",73,6995,10.4360257326662,13.1217355515342,8.18017825911353
"48","399",73,2219,32.8977016674178,41.3639207674545,25.7865466077058
"55","083",73,7208,10.1276359600444,12.7339817124003,7.9384499060071
"27","049",73,9144,7.98337707786527,10.0378980952517,6.25769323299422
"50","027",74,9683,7.64225963027987,9.5941571312503,6.00081754036363
"51","099",74,6159,12.0149374898522,15.083653759035,9.43431015478827
"50","023",74,12022,6.15538180003327,7.72751817517024,4.83329863943944
"13","241",74,2977,24.857238831038,31.2059870681547,19.5182788859056
"27","057",74,4228,17.5023651844844,21.9726167223029,13.7431211550002
"46","011",74,13895,5.32565671104714,6.68587430744128,4.18178598368773
"27","095",74,5370,13.780260707635,17.2998554007256,10.820468574179
"26","137",74,4975,14.8743718592965,18.6734117591752,11.6795811544404
"13","169",74,6693,11.0563275063499,13.8802067087848,8.68159513571507
"50","025",74,7954,9.30349509680664,11.6796861330018,7.30524468737
"47","171",74,3100,23.8709677419355,29.9678140328699,18.7438439494648
"20","121",75,7957,9.42566293829333,11.8151501129613,7.41388182750427
"21","221",75,2992,25.0668449197861,31.4215071687275,19.7166636702712
"54","091",75,2874,26.0960334029228,32.7116038444095,20.5261856998787
"48","357",75,2871,26.123301985371,32.7457852486356,20.5476341697846
"19","171",75,3513,21.3492741246798,26.7614999854349,16.7925584120272
"46","109",75,2289,32.7653997378768,41.0717122974368,25.772065400372
"22","093",75,4143,18.1028240405503,22.6920466929357,14.239019478989
"51","570",75,3988,18.8064192577733,23.5740093903793,14.7924417506147
"55","033",75,14670,5.11247443762781,6.40853097810721,4.02128546022164
"40","069",75,2771,27.0660411403825,33.9275169429205,21.2891583188204
"40","073",75,3733,20.0910795606751,25.1843422043485,15.8029085725828
"13","231",76,4575,16.6120218579235,20.7924225056462,13.0883837981319
"41","003",76,31133,2.4411396267626,3.05545026060231,1.9233403744083
"54","087",76,2794,27.2011453113815,34.0462895359097,21.4314086887808
"27","017",76,7514,10.1144530210274,12.6597462022001,7.96903857818121
"47","007",76,1963,38.7162506367804,48.459160959415,30.5040019747599
"21","103",76,3393,22.3990568818155,28.0357597887803,17.6479091884626
"39","069",76,5901,12.8791730215218,16.120205552166,10.1473234835542
"54","041",76,3022,25.1489080079418,31.4776085252586,19.8144791119966
"40","085",76,2420,31.404958677686,39.307988827823,24.7435354861379
"28","053",76,1920,39.5833333333333,49.5444442517352,31.1871645189862
"01","063",76,1612,47.1464019851117,59.0107524586424,37.1460024047479
"29","013",76,3424,22.196261682243,27.7819313561132,17.4881296368147
"37","131",76,2864,26.536312849162,33.2141525709957,20.9075963255774
"21","219",76,2905,26.1617900172117,32.7453813987372,20.6125149316536
"48","501",76,2464,30.8441558441558,38.6060604558976,24.3016866381711
"54","001",76,4227,17.9796546013721,22.5042188226476,14.1659228475168
"47","133",76,4429,17.1596297132536,21.4778353947463,13.5198365040536
"37","199",76,2971,25.5806125883541,32.0179511825418,20.154613219944
"27","025",76,11812,6.43413477819167,8.0532791198215,5.06936639658429
"53","029",76,12408,6.1250805931657,7.66645172173852,4.82586685013327
"47","159",77,4129,18.6485831920562,23.3075293049462,14.7171702238911
"47","023",77,5188,14.8419429452583,18.5498821318664,11.7130292703251
"39","125",77,4277,18.0032733224223,22.5010026888293,14.2079017662957
"22","037",77,3027,25.4377271225636,31.792794350883,20.0750564434908
"51","169",77,3755,20.5059920106525,25.628971637849,16.1830082168965
"08","067",77,12220,6.30114566284779,7.87535094109025,4.97276561820348
"21","119",77,3380,22.7810650887574,28.4724226331724,17.9784603119664
"26","129",77,3624,21.2472406181015,26.5554052152657,16.7679900260614
"36","039",77,6800,11.3235294117647,14.1524688970769,8.93635233153625
"17","187",77,4745,16.2276080084299,20.2817257113009,12.806574468798
"28","103",77,2129,36.1672146547675,45.2028128229793,28.5426002134554
"42","067",77,5109,15.0714425523586,18.8367172636764,11.8941467712755
"51","011",77,3112,24.7429305912596,30.9244178984971,19.5267338863903
"36","021",77,9511,8.09588897066554,10.1184721375379,6.38914897008164
"17","191",78,3155,24.7226624405705,30.8550016009096,19.5422387337624
"29","065",78,2915,26.7581475128645,33.3953790912075,21.1512052161305
"29","163",78,3403,22.9209521010873,28.6063855571172,18.1180614766442
"35","027",78,3434,22.7140361094933,28.348145035198,17.954502971759
"48","351",78,2489,31.3378867014865,39.1111008641502,24.7712989975976
"37","115",78,4644,16.7958656330749,20.9620004416171,13.2764347986693
"13","099",78,2335,33.4047109207709,41.6905910282098,26.4050377751693
"01","027",78,2466,31.6301703163017,39.4758840433373,25.0023370661072
"51","775",78,7804,9.99487442337263,12.4740556190248,7.90053347065868
"17","041",78,4501,17.3294823372584,21.6279782383625,13.6982366596357
"27","165",78,2672,29.1916167664671,36.4324588513734,23.0747616785256
"42","131",78,5427,14.3725815367606,17.9376322186972,11.3609292804534
"47","121",78,2460,31.7073170731707,39.5721666873454,25.0633183760245
"22","025",78,1734,44.9826989619377,56.1404440893136,35.5569568656403
"21","239",78,6494,12.011087157376,14.9903803589267,9.49426596935946
"41","061",78,6277,12.4263183049227,15.5086076232069,9.82248896049392
"29","117",79,2892,27.3167358229599,34.0448033072876,21.6269169984768
"27","083",79,6623,11.928129246565,14.86600802728,9.44361225420427
"12","079",79,2938,26.8890401633764,33.5117669042463,21.2883063170847
"51","147",79,9575,8.25065274151436,10.282775056363,6.53211947358693
"47","153",79,3082,25.6327060350422,31.9459997289668,20.2936547565201
"13","207",79,5498,14.368861404147,17.9078885348628,11.3759628882493
"19","125",79,8500,9.29411764705882,11.5832436664324,7.35824046583469
"27","153",79,4691,16.8407589000213,20.9886103527341,13.332987414111
"54","031",79,2426,32.5638911788953,40.5843244701878,25.7811393073351
"48","343",79,2561,30.8473252635689,38.4449711693384,24.4221179069094
"37","175",79,5724,13.801537386443,17.2008335368057,10.9268071208237
"13","023",80,4376,18.2815356489945,22.7529536031624,14.4961207931879
"40","127",80,2161,37.01989819528,46.0744678238956,29.3544769046693
"05","137",80,2331,34.3200343200343,42.7142535252846,27.2136527631876
"41","065",80,4905,16.3098878695209,20.299067271649,12.9327267259919
"48","047",80,1524,52.49343832021,65.3326279313901,41.6240318838519
"18","147",80,4115,19.4410692588092,24.1960935522329,15.4155588313464
"18","165",80,3056,26.1780104712042,32.5808000547901,20.7575342248005
"20","191",80,5011,15.964877270006,19.8696717157131,12.6591547776872
"02","185",80,2202,36.330608537693,45.2165871786732,28.8079130749275
"28","111",81,2321,34.898750538561,43.3759604395213,27.7146454089381
"05","141",81,3036,26.6798418972332,33.1606074374602,21.1876455843694
"22","123",81,2034,39.8230088495575,49.4963639037016,31.625217302923
"13","171",81,6151,13.1685904730938,16.3673555812273,10.4577616638181
"48","281",81,4885,16.5813715455476,20.6091308454717,13.168002455301
"50","019",81,5047,16.0491381018427,19.9476132712758,12.7453322754399
"01","029",81,2987,27.1175092065618,33.7045879411212,21.5352166033296
"55","095",81,8813,9.19096788834676,11.4235338908577,7.29895517918363
"13","287",81,1944,41.6666666666667,51.7878622325767,33.0893477336139
"13","105",81,3927,20.6264323911383,25.6367721365238,16.380364653462
"13","043",82,2562,32.0062451209992,39.7281893583404,25.4555165760751
"46","093",82,5801,14.1354938803655,17.545875045004,11.2423777741604
"46","065",82,3511,23.3551694673882,28.9899234224062,18.5750593756492
"48","377",82,1433,57.2226099092812,71.0283469197963,45.5108398240784
